	en	ru	label	bicleaner	laser	labse
0	Also assisted with the drafting of the Penal Code of Guinea promulgated by Decree No. 313/PRG of 30 October 1965.	Работал также над составлением уголовного кодекса, принятого декретом № 313/PRG от 30 октября 1965 года Гвинеи.	1	0.68	0.9494359493255615	0.8507517576217651
1	It is recommended that this category of prefabricated accommodation be transferred to a storage warehouse or to another mission as required.	Рекомендуется обеспечить перевозку сборных домов этой категории на склады или, в случае необходимости, передать их другой миссии.	1	0.678	0.8837046027183533	0.779059886932373
2	I am deeply appreciative of our privileged partnership with members and observer States of this Executive Committee, the United Nations system, international and non-governmental organizations.	Я очень высоко ценю наше привилегированное партнерство с государствами-членами этого Исполнительного комитета и государствами, имеющими в нем статус наблюдателя, а также с системой Организации Объединенных Наций, международными и неправительственными организациями.	1	0.916	0.9350829124450684	0.9122712016105652
3	The Commission further took note of the recommendation of the General Assembly, expressed in paragraph 13 of resolution 47/34, that the Commission pay special attention to the rationalization of the organization of its work and consider all possibilities for rationalization, in particular the holding of consecutive meetings of its working groups, and of the Assembly's request, in paragraph 14 of the same resolution, that the Secretary-General submit a report on the implementation of paragraphs 12 and 13 to the Assembly at its forty-eighth session.	Комиссия далее приняла к сведению рекомендацию Генеральной Ассамблеи в пункте 13 резолюции 47/34, чтобы Комиссия обратила особое внимание на рационализацию организации своей работы и рассмотрела все возможности рационализации, в частности вопрос о последовательном проведении заседаний своих рабочих групп, а также просьбу Ассамблеи в пункте 14 этой же резолюции о том, чтобы Генеральный секретарь представил Ассамблее на ее сорок восьмой сессии доклад об осуществлении пунктов 12 и 13.	1	0.82	0.9834294319152832	0.9384585022926331
4	6. The General Assembly considers that the possibility of dispatching a United Nations visiting mission to St. Helena at an appropriate time should be kept under review, and requests the Special Committee to continue to examine the question of St. Helena at its next session, and to report thereon to the Assembly at its forty-ninth session.	6. Генеральная Ассамблея считает целесообразным держать в поле зрения возможность направления на остров Св. Елены в соответствующее время выездной миссии Организации Объединенных Наций и предлагает Специальному комитету продолжить рассмотрение вопроса об острове Св. Елены на его следующей сессии и представить Генеральной Ассамблее на ее сорок девятой сессии доклад по этому вопросу.	1	0.748	0.9654818773269653	0.8828514218330383
5	The signing of the Arusha Peace Agreement in the United Republic of Tanzania on 4 August 1993 opened the way to a new era of peace and national reconciliation that will make it possible for the Rwandese people to work for the reconstruction and development of their homeland.	Подписание 4 августа 1993 года в Аруше (Объединенная Республика Танзания) мирного соглашения открыло путь новой эре мира и национального примирения, что позволит народу Руанды трудиться на благо восстановления и развития своей родины.	1	0.898	0.969345211982727	0.9000755548477173
6	"Whenever possible, resolutions requesting the discussion of a question at a subsequent session should not call for the inclusion of a separate new item and such discussion should be held under the item under which the resolution was adopted."""	"Там, где это возможно, в резолюциях, содержащих просьбу об обсуждении того или иного вопроса на одной из последующих сессий, не должно предусматриваться включения отдельного нового пункта в повестку дня, и обсуждение этого вопроса должно проводиться в рамках пункта, по которому принята данная резолюция""."	1	0.778	0.9647886753082275	0.882680356502533
7	1. At its 4th meeting, on 7 October 1993, the General Committee considered a request submitted by the Secretary-General (A/48/234) for the inclusion in the agenda of an additional item entitled:	1. На своем 4-м заседании 7 октября 1993 года Генеральный комитет рассмотрел просьбу, представленную Генеральным секретарем (А/48/234), о включении в повестку дня нового пункта, озаглавленного:	1	0.608	0.9828386902809143	0.9425608515739441
8	1. Since the United Nations came into existence 47 years ago, the world has undergone tremendous changes.	1. Со времени основания 47 лет назад Организации Объединенных Наций в мире произошли глубокие изменения.	1	0.528	0.905948281288147	0.9343807101249695
9	Among the latter, we note with interest, the suggestion made by the Latin American Central of Workers (CLAT) to convene a Latin American social summit, in preparation for the world summit for social development.	В частности, мы с интересом приняли к сведению предложение латиноамериканского профсоюза трудящихся о созыве латиноамериканской встречи на высшем уровне по социальным вопросам в порядке подготовки к Всемирной встрече на высшем уровне по социальному развитию.	1	0.862	0.902222752571106	0.7763740420341492
